Event,Elevation [m],Longitude,Latitude,Depth water [m],Symbiosis,Spinose,export_n_m2_d,export_mmolC_m2_d,prop
EBC2-1_trap,-996,-13.1557,28.7082,700,No,No,1.6049999999999998,1.1301874999999998e-4,0.01255377395385217
EBC2-1_trap,-996,-13.1557,28.7082,700,No,Yes,69.645,0.00490416875,0.5447399296050058
EBC2-1_trap,-996,-13.1557,28.7082,700,Undetermined,Undetermined,0,0,0
EBC2-1_trap,-996,-13.1557,28.7082,700,Yes,No,0,0,0
EBC2-1_trap,-996,-13.1557,28.7082,700,Yes,Yes,56.6,0.003985583333333333,0.442706296441142
EBC2-1_trap,-996,-13.1557,28.7082,700,NA,NA,0,0,0
G_trap,-3663,-132,41.55,1000,No,No,6.5,4.5770833333333335e-4,0.22413793103448276
G_trap,-3663,-132,41.55,1000,No,Yes,11,7.745833333333333e-4,0.3793103448275862
G_trap,-3663,-132,41.55,1000,Undetermined,Undetermined,0,0,0
G_trap,-3663,-132,41.55,1000,Yes,No,0,0,0
G_trap,-3663,-132,41.55,1000,Yes,Yes,11.5,8.097916666666667e-4,0.39655172413793105
G_trap,-3663,-132,41.55,1000,NA,NA,0,0,0
JAM-1,-2200,108.0333,-8.2917,830,No,No,72.04761904761905,0.005073353174603175,0.13454868830591374
JAM-1,-2200,108.0333,-8.2917,830,No,Yes,37.42857142857142,0.0026355952380952377,0.06989773232547798
JAM-1,-2200,108.0333,-8.2917,830,Undetermined,Undetermined,0.6666666666666666,4.694444444444444e-5,0.0012449977767896843
JAM-1,-2200,108.0333,-8.2917,830,Yes,No,166.1904761904762,0.011702579365079365,0.31036016007114275
JAM-1,-2200,108.0333,-8.2917,830,Yes,Yes,256.76190476190476,0.01808031746031746,0.47950200088928413
JAM-1,-2200,108.0333,-8.2917,830,NA,NA,2.380952380952381,1.6765873015873016e-4,0.004446420631391729
JAM-2,-2200,108.0333,-8.2917,830,No,No,160.76190476190473,0.011320317460317458,0.17002417405318287
JAM-2,-2200,108.0333,-8.2917,830,No,Yes,96.95238095238095,0.006827063492063492,0.10253827558420628
JAM-2,-2200,108.0333,-8.2917,830,Undetermined,Undetermined,0.1904761904761904,1.3412698412698408e-5,2.0145044319097496e-4
JAM-2,-2200,108.0333,-8.2917,830,Yes,No,338.1904761904762,0.023814246031746034,0.3576752618855762
JAM-2,-2200,108.0333,-8.2917,830,Yes,Yes,341.6190476190476,0.0240556746031746,0.3613013698630137
JAM-2,-2200,108.0333,-8.2917,830,NA,NA,7.809523809523809,5.499206349206349e-4,0.008259468170829976
JAM-3,-2460,108.1417,-8.2683,600,No,No,38.42857142857143,0.002706011904761905,0.09154330440701039
JAM-3,-2460,108.1417,-8.2683,600,No,Yes,97.71428571428572,0.006880714285714286,0.23277182235834612
