Literature,Cruise/Station,Latitude,Longitude,Mesh size (µm),Test size (µm),Depth (m),Spinose,Symbiosis,abundance_m3,biomass_Frail_mmol_m3,biomass_Schiebel_mmol_m3,prop
"Bergami et al., 2009",AN01/B2,-73.95,174.383333333333,100,NA,100,Undetermined,Undetermined,0,0,0,0
"Bergami et al., 2009",AN01/B2,-73.95,174.383333333333,100,NA,100,Yes,No,0,0,0,0
"Bergami et al., 2009",AN01/B2,-73.95,174.383333333333,100,NA,100,Yes,Undetermined,0,0,0,0
"Bergami et al., 2009",AN01/B2,-73.95,174.383333333333,100,NA,100,Yes,Yes,0,0,0,0
"Bergami et al., 2009",AN01/O,-63.43333333333333,178.1,100,NA,150,No,No,400,0.010654379872091902,0.028166666666666666,0.963855421686747
"Bergami et al., 2009",AN01/O,-63.43333333333333,178.1,100,NA,150,No,Yes,0,0,0,0
"Bergami et al., 2009",AN01/O,-63.43333333333333,178.1,100,NA,150,Undetermined,Undetermined,0,0,0,0
"Bergami et al., 2009",AN01/O,-63.43333333333333,178.1,100,NA,150,Yes,No,15,3.9953924520344633e-4,0.00105625,0.03614457831325301
"Bergami et al., 2009",AN01/O,-63.43333333333333,178.1,100,NA,150,Yes,Undetermined,0,0,0,0
"Bergami et al., 2009",AN01/O,-63.43333333333333,178.1,100,NA,150,Yes,Yes,0,0,0,0
"Bergami et al., 2009",AN02/B,-74.03333333333333,175.883333333333,100,NA,100,No,No,156,0.004155208150115842,0.010985,1
"Bergami et al., 2009",AN02/B,-74.03333333333333,175.883333333333,100,NA,100,No,Yes,0,0,0,0
"Bergami et al., 2009",AN02/B,-74.03333333333333,175.883333333333,100,NA,100,Undetermined,Undetermined,0,0,0,0
"Bergami et al., 2009",AN02/B,-74.03333333333333,175.883333333333,100,NA,100,Yes,No,0,0,0,0
"Bergami et al., 2009",AN02/B,-74.03333333333333,175.883333333333,100,NA,100,Yes,Undetermined,0,0,0,0
"Bergami et al., 2009",AN02/B,-74.03333333333333,175.883333333333,100,NA,100,Yes,Yes,0,0,0,0
"Bergami et al., 2009",AN03/B1,-74.01666666666667,175.083333333333,100,NA,100,No,No,719,0.019151247820085194,0.05062958333333333,1
"Bergami et al., 2009",AN03/B1,-74.01666666666667,175.083333333333,100,NA,100,No,Yes,0,0,0,0
"Bergami et al., 2009",AN03/B1,-74.01666666666667,175.083333333333,100,NA,100,Undetermined,Undetermined,0,0,0,0
"Bergami et al., 2009",AN03/B1,-74.01666666666667,175.083333333333,100,NA,100,Yes,No,0,0,0,0
"Bergami et al., 2009",AN03/B1,-74.01666666666667,175.083333333333,100,NA,100,Yes,Undetermined,0,0,0,0
"Bergami et al., 2009",AN03/B1,-74.01666666666667,175.083333333333,100,NA,100,Yes,Yes,0,0,0,0
"Bergami et al., 2009",AN03/B2,-74.23333333333333,174.383333333333,100,NA,100,No,No,142,0.003782304854592625,0.009999166666666667,1
"Bergami et al., 2009",AN03/B2,-74.23333333333333,174.383333333333,100,NA,100,No,Yes,0,0,0,0
"Bergami et al., 2009",AN03/B2,-74.23333333333333,174.383333333333,100,NA,100,Undetermined,Undetermined,0,0,0,0
"Bergami et al., 2009",AN03/B2,-74.23333333333333,174.383333333333,100,NA,100,Yes,No,0,0,0,0
"Bergami et al., 2009",AN03/B2,-74.23333333333333,174.383333333333,100,NA,100,Yes,Undetermined,0,0,0,0
"Bergami et al., 2009",AN03/B2,-74.23333333333333,174.383333333333,100,NA,100,Yes,Yes,0,0,0,0
"Bergami et al., 2009",AN98/B,-74,175.116666666666,100,NA,100,No,No,27,7.191706413662034e-4,0.00190125,1
"Bergami et al., 2009",AN98/B,-74,175.116666666666,100,NA,100,No,Yes,0,0,0,0
"Bergami et al., 2009",AN98/B,-74,175.116666666666,100,NA,100,Undetermined,Undetermined,0,0,0,0
"Bergami et al., 2009",AN98/B,-74,175.116666666666,100,NA,100,Yes,No,0,0,0,0
"Bergami et al., 2009",AN98/B,-74,175.116666666666,100,NA,100,Yes,Undetermined,0,0,0,0
"Bergami et al., 2009",AN98/B,-74,175.116666666666,100,NA,100,Yes,Yes,0,0,0,0
"Bergami et al., 2009",AN98/O,-63.25,177.25,100,NA,130,No,No,196,0.005220646137325032,0.013801666666666667,0.7777777777777778
