Literature,Cruise/Station,Latitude,Longitude,Mesh size (µm),Test size (µm),Depth (m),Spinose,Symbiosis,abundance_m3,biomass_Frail_mmol_m3,biomass_Schiebel_mmol_m3,prop
"Meilland, 2015",MD189-OISO9,-48.4995,65.0001667,100,NA,100,No,Yes,455.2,0.012124684294440585,0.03205366666666667,0.2655156322911806
"Meilland, 2015",MD189-OISO9,-48.4995,65.0001667,100,NA,100,Undetermined,Undetermined,66,0.0017579726788951638,0.0046475,0.038497433504433035
"Meilland, 2015",MD189-OISO9,-48.4995,65.0001667,100,NA,100,Yes,No,0,0,0,0
"Meilland, 2015",MD189-OISO9,-48.4995,65.0001667,100,NA,100,Yes,Undetermined,0,0,0,0
"Meilland, 2015",MD189-OISO9,-48.4995,65.0001667,100,NA,100,Yes,Yes,0,0,0,0
"Meilland, 2015",MD192-A3,-50.37,72,100,NA,100,No,No,367.76,0.009795636854401294,0.025896433333333333,0.7090169465383948
"Meilland, 2015",MD192-A3,-50.37,72,100,NA,100,No,Yes,150.93,0.004020163885237077,0.0106279875,0.2909830534616052
"Meilland, 2015",MD192-A3,-50.37,72,100,NA,100,Undetermined,Undetermined,0,0,0,0
"Meilland, 2015",MD192-A3,-50.37,72,100,NA,100,Yes,No,0,0,0,0
"Meilland, 2015",MD192-A3,-50.37,72,100,NA,100,Yes,Undetermined,0,0,0,0
"Meilland, 2015",MD192-A3,-50.37,72,100,NA,100,Yes,Yes,0,0,0,0
"Meilland, 2015",MD192-CROKER,-46.34,60.29,100,NA,100,No,No,1625.6,0.043299399800181486,0.11446933333333333,0.45986766357466763
"Meilland, 2015",MD192-CROKER,-46.34,60.29,100,NA,100,No,Yes,275.2,0.007330213351999229,0.019378666666666666,0.07785161233744373
"Meilland, 2015",MD192-CROKER,-46.34,60.29,100,NA,100,Undetermined,Undetermined,0,0,0,0
"Meilland, 2015",MD192-CROKER,-46.34,60.29,100,NA,100,Yes,No,1634.13,0.043526604450953854,0.11506998750000001,0.46228072408788856
"Meilland, 2015",MD192-CROKER,-46.34,60.29,100,NA,100,Yes,Undetermined,0,0,0,0
"Meilland, 2015",MD192-CROKER,-46.34,60.29,100,NA,100,Yes,Yes,0,0,0,0
"Meilland, 2015",MD192-E1,-48.48,72.22,100,NA,100,No,No,397.97999999999996,0.010600575253737837,0.028024425,0.8424818476259024
"Meilland, 2015",MD192-E1,-48.48,72.22,100,NA,100,No,Yes,55.47,0.0014774961287623446,0.0039060124999999997,0.11742416223882811
"Meilland, 2015",MD192-E1,-48.48,72.22,100,NA,100,Undetermined,Undetermined,0,0,0,0
"Meilland, 2015",MD192-E1,-48.48,72.22,100,NA,100,Yes,No,18.94,5.044848869435516e-4,0.0013336916666666667,0.0400939901352696
"Meilland, 2015",MD192-E1,-48.48,72.22,100,NA,100,Yes,Undetermined,0,0,0,0
"Meilland, 2015",MD192-E1,-48.48,72.22,100,NA,100,Yes,Yes,0,0,0,0
"Meilland, 2015",MD192-OISO11,-56.5,63,100,NA,100,No,No,3372.7,0.08983506748651089,0.23749429166666666,0.790379617500041
"Meilland, 2015",MD192-OISO11,-56.5,63,100,NA,100,No,Yes,583.83,0.01555086650180854,0.041111362500000005,0.1368183746212379
"Meilland, 2015",MD192-OISO11,-56.5,63,100,NA,100,Undetermined,Undetermined,0,0,0,0
"Meilland, 2015",MD192-OISO11,-56.5,63,100,NA,100,Yes,No,310.66,0.008274724127660176,0.021875641666666668,0.07280200787872114
"Meilland, 2015",MD192-OISO11,-56.5,63,100,NA,100,Yes,Undetermined,0,0,0,0
"Meilland, 2015",MD192-OISO11,-56.5,63,100,NA,100,Yes,Yes,0,0,0,0
"Meilland, 2015",MD192-OISO13,-45,73.2,100,NA,100,No,No,385.7199999999999,0.010274018510658218,0.027161116666666662,0.8398179799255372
"Meilland, 2015",MD192-OISO13,-45,73.2,100,NA,100,No,Yes,0,0,0,0
"Meilland, 2015",MD192-OISO13,-45,73.2,100,NA,100,Undetermined,Undetermined,48.2,0.0012838527745870742,0.0033940833333333336,0.10494458838642255
"Meilland, 2015",MD192-OISO13,-45,73.2,100,NA,100,Yes,No,25.369999999999997,6.757540433874288e-4,0.0017864708333333332,0.05523743168804024
"Meilland, 2015",MD192-OISO13,-45,73.2,100,NA,100,Yes,Undetermined,0,0,0,0
"Meilland, 2015",MD192-OISO13,-45,73.2,100,NA,100,Yes,Yes,0,0,0,0
"Meilland, 2015",MD192-OISO15,-40,77,100,NA,100,No,No,155.79000000000002,0.004149614600682994,0.010970212500000001,0.4329905503057254
"Meilland, 2015",MD192-OISO15,-40,77,100,NA,100,No,Yes,12.310000000000002,3.2788854056362834e-4,8.668291666666669e-4,0.03421345191773208
"Meilland, 2015",MD192-OISO15,-40,77,100,NA,100,Undetermined,Undetermined,118.15,0.0031470374547191457,0.008319729166666666,0.3283768760422457
"Meilland, 2015",MD192-OISO15,-40,77,100,NA,100,Yes,No,73.55000000000001,0.001959074098980899,0.005179145833333334,0.20441912173429685
"Meilland, 2015",MD192-OISO15,-40,77,100,NA,100,Yes,Undetermined,0,0,0,0
"Meilland, 2015",MD192-OISO15,-40,77,100,NA,100,Yes,Yes,0,0,0,0
"Meilland, 2015",MD192-OISO16,-35,73.28,100,NA,100,No,No,10.83,2.8846733503688825e-4,7.626125e-4,0.49182561307901906
"Meilland, 2015",MD192-OISO16,-35,73.28,100,NA,100,No,Yes,1.93,5.140738288284342e-5,1.3590416666666667e-4,0.08764759309718438
"Meilland, 2015",MD192-OISO16,-35,73.28,100,NA,100,Undetermined,Undetermined,7.330000000000001,1.9524151115608412e-4,5.161541666666667e-4,0.3328792007266122
"Meilland, 2015",MD192-OISO16,-35,73.28,100,NA,100,Yes,No,1.93,5.140738288284342e-5,1.3590416666666667e-4,0.08764759309718438
"Meilland, 2015",MD192-OISO16,-35,73.28,100,NA,100,Yes,Undetermined,0,0,0,0
"Meilland, 2015",MD192-OISO16,-35,73.28,100,NA,100,Yes,Yes,0,0,0,0
"Meilland, 2015",MD192-OISO17,-30,66.2,100,NA,100,No,No,1.41,3.7556689049123956e-5,9.92875e-5,0.0858708891595615
"Meilland, 2015",MD192-OISO17,-30,66.2,100,NA,100,No,Yes,1.12,2.983226364185733e-5,7.886666666666667e-5,0.0682095006090134
"Meilland, 2015",MD192-OISO17,-30,66.2,100,NA,100,Undetermined,Undetermined,12.21,3.2522494559560533e-4,8.597875e-4,0.743605359317905
"Meilland, 2015",MD192-OISO17,-30,66.2,100,NA,100,Yes,No,1.6800000000000002,4.474839546278599e-5,1.1830000000000002e-4,0.1023142509135201
"Meilland, 2015",MD192-OISO17,-30,66.2,100,NA,100,Yes,Undetermined,0,0,0,0
"Meilland, 2015",MD192-OISO17,-30,66.2,100,NA,100,Yes,Yes,0,0,0,0
"Meilland, 2015",V2,-62.3229,112.4655,270,NA,10,No,No,5.34,1.4223597129242688e-4,3.76025e-4,0.8885191347753744
"Meilland, 2015",V2,-62.3229,112.4655,270,NA,10,No,Yes,0.67,1.7846086285753937e-5,4.717916666666667e-5,0.11148086522462564
"Meilland, 2015",V2,-62.3229,112.4655,270,NA,10,Undetermined,Undetermined,0,0,0,0
"Meilland, 2015",V2,-62.3229,112.4655,270,NA,10,Yes,No,0,0,0,0
"Meilland, 2015",V2,-62.3229,112.4655,270,NA,10,Yes,Undetermined,0,0,0,0
"Meilland, 2015",V2,-62.3229,112.4655,270,NA,10,Yes,Yes,0,0,0,0
"Meilland, 2015",V2,-61.4521,113.9623,270,NA,10,No,No,30.01,7.99344849903695e-4,0.0021132041666666666,1
"Meilland, 2015",V2,-61.4521,113.9623,270,NA,10,No,Yes,0,0,0,0
"Meilland, 2015",V2,-61.4521,113.9623,270,NA,10,Undetermined,Undetermined,0,0,0,0
"Meilland, 2015",V2,-61.4521,113.9623,270,NA,10,Yes,No,0,0,0,0
"Meilland, 2015",V2,-61.4521,113.9623,270,NA,10,Yes,Undetermined,0,0,0,0
"Meilland, 2015",V2,-61.4521,113.9623,270,NA,10,Yes,Yes,0,0,0,0
"Meilland, 2015",V2,-60.721,115.6206,270,NA,10,No,No,30.01,7.99344849903695e-4,0.0021132041666666666,1
"Meilland, 2015",V2,-60.721,115.6206,270,NA,10,No,Yes,0,0,0,0
"Meilland, 2015",V2,-60.721,115.6206,270,NA,10,Undetermined,Undetermined,0,0,0,0
"Meilland, 2015",V2,-60.721,115.6206,270,NA,10,Yes,No,0,0,0,0
"Meilland, 2015",V2,-60.721,115.6206,270,NA,10,Yes,Undetermined,0,0,0,0
"Meilland, 2015",V2,-60.721,115.6206,270,NA,10,Yes,Yes,0,0,0,0
"Meilland, 2015",V2,-59.9587,117.3893,270,NA,10,No,No,25.990000000000002,6.922683321891714e-4,0.0018301291666666668,0.9513177159590045
"Meilland, 2015",V2,-59.9587,117.3893,270,NA,10,No,Yes,0,0,0,0
"Meilland, 2015",V2,-59.9587,117.3893,270,NA,10,Undetermined,Undetermined,0,0,0,0
"Meilland, 2015",V2,-59.9587,117.3893,270,NA,10,Yes,No,1.33,3.542581307470558e-5,9.365416666666667e-5,0.04868228404099561
"Meilland, 2015",V2,-59.9587,117.3893,270,NA,10,Yes,Undetermined,0,0,0,0
"Meilland, 2015",V2,-59.9587,117.3893,270,NA,10,Yes,Yes,0,0,0,0
"Meilland, 2015",V2,-59.4513,118.4835,270,NA,10,No,No,48,0.0012785255846510283,0.00338,1
"Meilland, 2015",V2,-59.4513,118.4835,270,NA,10,No,Yes,0,0,0,0
"Meilland, 2015",V2,-59.4513,118.4835,270,NA,10,Undetermined,Undetermined,0,0,0,0
"Meilland, 2015",V2,-59.4513,118.4835,270,NA,10,Yes,No,0,0,0,0
"Meilland, 2015",V2,-59.4513,118.4835,270,NA,10,Yes,Undetermined,0,0,0,0
"Meilland, 2015",V2,-59.4513,118.4835,270,NA,10,Yes,Yes,0,0,0,0
"Meilland, 2015",V2,-59.0532,119.3136,270,NA,10,No,No,80.66,0.002148455701207332,0.005679808333333333,0.9236230390472918
"Meilland, 2015",V2,-59.0532,119.3136,270,NA,10,No,Yes,0,0,0,0
"Meilland, 2015",V2,-59.0532,119.3136,270,NA,10,Undetermined,Undetermined,2.67,7.111798564621344e-5,1.880125e-4,0.030573686018550327
"Meilland, 2015",V2,-59.0532,119.3136,270,NA,10,Yes,No,4,1.0654379872091902e-4,2.8166666666666666e-4,0.04580327493415779
"Meilland, 2015",V2,-59.0532,119.3136,270,NA,10,Yes,Undetermined,0,0,0,0
"Meilland, 2015",V2,-59.0532,119.3136,270,NA,10,Yes,Yes,0,0,0,0
"Meilland, 2015",V2,-58.662,120.1558,270,NA,10,No,No,89.33,0.002379389384934924,0.006290320833333333,1
"Meilland, 2015",V2,-58.662,120.1558,270,NA,10,No,Yes,0,0,0,0
"Meilland, 2015",V2,-58.662,120.1558,270,NA,10,Undetermined,Undetermined,0,0,0,0
"Meilland, 2015",V2,-58.662,120.1558,270,NA,10,Yes,No,0,0,0,0
"Meilland, 2015",V2,-58.662,120.1558,270,NA,10,Yes,Undetermined,0,0,0,0
"Meilland, 2015",V2,-58.662,120.1558,270,NA,10,Yes,Yes,0,0,0,0
"Meilland, 2015",V2,-57.1287,123.403,270,NA,10,No,No,5.33,1.419696117956246e-4,3.7532083333333333e-4,0.44416666666666665
"Meilland, 2015",V2,-57.1287,123.403,270,NA,10,No,Yes,0,0,0,0
"Meilland, 2015",V2,-57.1287,123.403,270,NA,10,Undetermined,Undetermined,0,0,0,0
"Meilland, 2015",V2,-57.1287,123.403,270,NA,10,Yes,No,6.67,1.7766178436713246e-4,4.6967916666666666e-4,0.5558333333333333
"Meilland, 2015",V2,-57.1287,123.403,270,NA,10,Yes,Undetermined,0,0,0,0
"Meilland, 2015",V2,-57.1287,123.403,270,NA,10,Yes,Yes,0,0,0,0
"Meilland, 2015",V2,-55.8957,125.8601,270,NA,10,No,No,20.67,5.50565079890349e-4,0.0014555125000000001,0.8378597486826105
"Meilland, 2015",V2,-55.8957,125.8601,270,NA,10,No,Yes,0,0,0,0
"Meilland, 2015",V2,-55.8957,125.8601,270,NA,10,Undetermined,Undetermined,4,1.0654379872091902e-4,2.8166666666666666e-4,0.16214025131738954
"Meilland, 2015",V2,-55.8957,125.8601,270,NA,10,Yes,No,0,0,0,0
"Meilland, 2015",V2,-55.8957,125.8601,270,NA,10,Yes,Undetermined,0,0,0,0
"Meilland, 2015",V2,-55.8957,125.8601,270,NA,10,Yes,Yes,0,0,0,0
"Meilland, 2015",V2,-55.3486,126.9681,270,NA,10,No,No,13.34,3.553235687342649e-4,9.393583333333333e-4,0.8696219035202086
"Meilland, 2015",V2,-55.3486,126.9681,270,NA,10,No,Yes,0,0,0,0
"Meilland, 2015",V2,-55.3486,126.9681,270,NA,10,Undetermined,Undetermined,0,0,0,0
"Meilland, 2015",V2,-55.3486,126.9681,270,NA,10,Yes,No,2,5.327189936045951e-5,1.4083333333333333e-4,0.1303780964797914
"Meilland, 2015",V2,-55.3486,126.9681,270,NA,10,Yes,Undetermined,0,0,0,0
"Meilland, 2015",V2,-55.3486,126.9681,270,NA,10,Yes,Yes,0,0,0,0
"Meilland, 2015",V2,-49.7662,137.4493,270,NA,10,No,No,4,1.0654379872091902e-4,2.8166666666666666e-4,0.25
"Meilland, 2015",V2,-49.7662,137.4493,270,NA,10,No,Yes,0.67,1.7846086285753937e-5,4.717916666666667e-5,0.041875
"Meilland, 2015",V2,-49.7662,137.4493,270,NA,10,Undetermined,Undetermined,0,0,0,0
"Meilland, 2015",V2,-49.7662,137.4493,270,NA,10,Yes,No,11.33,3.017853098770031e-4,7.978208333333333e-4,0.708125
"Meilland, 2015",V2,-49.7662,137.4493,270,NA,10,Yes,Undetermined,0,0,0,0
"Meilland, 2015",V2,-49.7662,137.4493,270,NA,10,Yes,Yes,0,0,0,0
"Meilland, 2015",V2,-49.6646,137.6545,270,NA,10,No,No,0.67,1.7846086285753937e-5,4.717916666666667e-5,0.08375
"Meilland, 2015",V2,-49.6646,137.6545,270,NA,10,No,Yes,0,0,0,0
"Meilland, 2015",V2,-49.6646,137.6545,270,NA,10,Undetermined,Undetermined,0,0,0,0
"Meilland, 2015",V2,-49.6646,137.6545,270,NA,10,Yes,No,7.33,1.9524151115608412e-4,5.161541666666667e-4,0.91625
"Meilland, 2015",V2,-49.6646,137.6545,270,NA,10,Yes,Undetermined,0,0,0,0
"Meilland, 2015",V2,-49.6646,137.6545,270,NA,10,Yes,Yes,0,0,0,0
"Meilland, 2015",V2,-49.5641,137.8557,270,NA,10,No,No,4,1.0654379872091902e-4,2.8166666666666666e-4,0.1463593121112331
"Meilland, 2015",V2,-49.5641,137.8557,270,NA,10,No,Yes,0,0,0,0
"Meilland, 2015",V2,-49.5641,137.8557,270,NA,10,Undetermined,Undetermined,0,0,0,0
"Meilland, 2015",V2,-49.5641,137.8557,270,NA,10,Yes,No,23.33,6.214167060397601e-4,0.0016428208333333332,0.8536406878887669
"Meilland, 2015",V2,-49.5641,137.8557,270,NA,10,Yes,Undetermined,0,0,0,0
"Meilland, 2015",V2,-49.5641,137.8557,270,NA,10,Yes,Yes,0,0,0,0
"Meilland, 2015",V2,-49.4636,138.0612,270,NA,10,No,No,4,1.0654379872091902e-4,2.8166666666666666e-4,0.2222222222222222
"Meilland, 2015",V2,-49.4636,138.0612,270,NA,10,No,Yes,0,0,0,0
"Meilland, 2015",V2,-49.4636,138.0612,270,NA,10,Undetermined,Undetermined,0,0,0,0
"Meilland, 2015",V2,-49.4636,138.0612,270,NA,10,Yes,No,14,3.729032955232166e-4,9.858333333333334e-4,0.7777777777777778
"Meilland, 2015",V2,-49.4636,138.0612,270,NA,10,Yes,Undetermined,0,0,0,0
"Meilland, 2015",V2,-49.4636,138.0612,270,NA,10,Yes,Yes,0,0,0,0
"Meilland, 2015",V2,-49.366,138.2712,270,NA,10,No,No,5.34,1.4223597129242688e-4,3.76025e-4,0.2761116856256463
"Meilland, 2015",V2,-49.366,138.2712,270,NA,10,No,Yes,0,0,0,0
"Meilland, 2015",V2,-49.366,138.2712,270,NA,10,Undetermined,Undetermined,0,0,0,0
"Meilland, 2015",V2,-49.366,138.2712,270,NA,10,Yes,No,14,3.729032955232166e-4,9.858333333333334e-4,0.7238883143743536
"Meilland, 2015",V2,-49.366,138.2712,270,NA,10,Yes,Undetermined,0,0,0,0
"Meilland, 2015",V2,-49.366,138.2712,270,NA,10,Yes,Yes,0,0,0,0
"Meilland, 2015",V3,-59.8753,110.928,270,NA,10,No,No,4.67,1.2438988500667296e-4,3.288458333333333e-4,0.7783333333333333
"Meilland, 2015",V3,-59.8753,110.928,270,NA,10,No,Yes,0,0,0,0
"Meilland, 2015",V3,-59.8753,110.928,270,NA,10,Undetermined,Undetermined,0,0,0,0
"Meilland, 2015",V3,-59.8753,110.928,270,NA,10,Yes,No,1.33,3.542581307470558e-5,9.365416666666667e-5,0.22166666666666668
"Meilland, 2015",V3,-59.8753,110.928,270,NA,10,Yes,Undetermined,0,0,0,0
"Meilland, 2015",V3,-59.8753,110.928,270,NA,10,Yes,Yes,0,0,0,0
"Meilland, 2015",V3,-57.2645,112.0682,270,NA,10,No,No,25.330000000000002,6.746886054002198e-4,0.0017836541666666668,0.9046428571428572
"Meilland, 2015",V3,-57.2645,112.0682,270,NA,10,No,Yes,0,0,0,0
"Meilland, 2015",V3,-57.2645,112.0682,270,NA,10,Undetermined,Undetermined,2.67,7.111798564621344e-5,1.880125e-4,0.09535714285714285
"Meilland, 2015",V3,-57.2645,112.0682,270,NA,10,Yes,No,0,0,0,0
"Meilland, 2015",V3,-57.2645,112.0682,270,NA,10,Yes,Undetermined,0,0,0,0
"Meilland, 2015",V3,-57.2645,112.0682,270,NA,10,Yes,Yes,0,0,0,0
"Meilland, 2015",V3,-55.2097,111.9965,270,NA,10,No,No,4.01,1.0681015821772132e-4,2.823708333333333e-4,0.6672212978369384
"Meilland, 2015",V3,-55.2097,111.9965,270,NA,10,No,Yes,0,0,0,0
"Meilland, 2015",V3,-55.2097,111.9965,270,NA,10,Undetermined,Undetermined,0.67,1.7846086285753937e-5,4.717916666666667e-5,0.11148086522462564
"Meilland, 2015",V3,-55.2097,111.9965,270,NA,10,Yes,No,1.33,3.542581307470558e-5,9.365416666666667e-5,0.22129783693843597
"Meilland, 2015",V3,-55.2097,111.9965,270,NA,10,Yes,Undetermined,0,0,0,0
"Meilland, 2015",V3,-55.2097,111.9965,270,NA,10,Yes,Yes,0,0,0,0
"Meilland, 2015",V3,-53.0596,114.9037,270,NA,10,No,No,5.33,1.419696117956246e-4,3.7532083333333333e-4,0.5712754555198285
"Meilland, 2015",V3,-53.0596,114.9037,270,NA,10,No,Yes,0,0,0,0
"Meilland, 2015",V3,-53.0596,114.9037,270,NA,10,Undetermined,Undetermined,0,0,0,0
"Meilland, 2015",V3,-53.0596,114.9037,270,NA,10,Yes,No,4,1.0654379872091902e-4,2.8166666666666666e-4,0.4287245444801715
"Meilland, 2015",V3,-53.0596,114.9037,270,NA,10,Yes,Undetermined,0,0,0,0
"Meilland, 2015",V3,-53.0596,114.9037,270,NA,10,Yes,Yes,0,0,0,0
"Meilland, 2015",V3,-52.6818,115.8139,270,NA,10,No,No,10.67,2.8420558308805147e-4,7.513458333333333e-4,0.5924486396446419
"Meilland, 2015",V3,-52.6818,115.8139,270,NA,10,No,Yes,0,0,0,0
"Meilland, 2015",V3,-52.6818,115.8139,270,NA,10,Undetermined,Undetermined,1.34,3.5692172571507875e-5,9.435833333333334e-5,0.07440310938367575
"Meilland, 2015",V3,-52.6818,115.8139,270,NA,10,Yes,No,6,1.5981569808137854e-4,4.225e-4,0.33314825097168244
"Meilland, 2015",V3,-52.6818,115.8139,270,NA,10,Yes,Undetermined,0,0,0,0
"Meilland, 2015",V3,-52.6818,115.8139,270,NA,10,Yes,Yes,0,0,0,0
"Meilland, 2015",V3,-52.3755,116.6285,270,NA,10,No,No,16.67,4.440212811694301e-4,0.0011738458333333335,0.7577272727272728
"Meilland, 2015",V3,-52.3755,116.6285,270,NA,10,No,Yes,0,0,0,0
"Meilland, 2015",V3,-52.3755,116.6285,270,NA,10,Undetermined,Undetermined,0,0,0,0
"Meilland, 2015",V3,-52.3755,116.6285,270,NA,10,Yes,No,5.33,1.419696117956246e-4,3.7532083333333333e-4,0.24227272727272728
"Meilland, 2015",V3,-52.3755,116.6285,270,NA,10,Yes,Undetermined,0,0,0,0
"Meilland, 2015",V3,-52.3755,116.6285,270,NA,10,Yes,Yes,0,0,0,0
"Meilland, 2015",V3,-51.7008,117.4046,270,NA,10,No,No,13.34,3.553235687342649e-4,9.393583333333333e-4,0.6251171508903468
"Meilland, 2015",V3,-51.7008,117.4046,270,NA,10,No,Yes,0,0,0,0
"Meilland, 2015",V3,-51.7008,117.4046,270,NA,10,Undetermined,Undetermined,1.33,3.542581307470558e-5,9.365416666666667e-5,0.06232427366447985
"Meilland, 2015",V3,-51.7008,117.4046,270,NA,10,Yes,No,6.670000000000001,1.776617843671325e-4,4.696791666666667e-4,0.3125585754451734
"Meilland, 2015",V3,-51.7008,117.4046,270,NA,10,Yes,Undetermined,0,0,0,0
"Meilland, 2015",V3,-51.7008,117.4046,270,NA,10,Yes,Yes,0,0,0,0
"Meilland, 2015",V3,-49.6083,119.7195,270,NA,10,No,No,6,1.5981569808137854e-4,4.225e-4,0.75
"Meilland, 2015",V3,-49.6083,119.7195,270,NA,10,No,Yes,0,0,0,0
"Meilland, 2015",V3,-49.6083,119.7195,270,NA,10,Undetermined,Undetermined,0.67,1.7846086285753937e-5,4.717916666666667e-5,0.08375
"Meilland, 2015",V3,-49.6083,119.7195,270,NA,10,Yes,No,1.33,3.542581307470558e-5,9.365416666666667e-5,0.16625
"Meilland, 2015",V3,-49.6083,119.7195,270,NA,10,Yes,Undetermined,0,0,0,0
"Meilland, 2015",V3,-49.6083,119.7195,270,NA,10,Yes,Yes,0,0,0,0
"Meilland, 2015",V3,-48.1215,122.7077,270,NA,10,No,No,11.33,3.017853098770031e-4,7.978208333333333e-4,0.6068559185859669
"Meilland, 2015",V3,-48.1215,122.7077,270,NA,10,No,Yes,1.9999999999999998,5.3271899360459504e-5,1.408333333333333e-4,0.10712372790573112
"Meilland, 2015",V3,-48.1215,122.7077,270,NA,10,Undetermined,Undetermined,0.67,1.7846086285753937e-5,4.717916666666667e-5,0.03588644884841993
"Meilland, 2015",V3,-48.1215,122.7077,270,NA,10,Yes,No,4.669999999999999,1.2438988500667293e-4,3.2884583333333325e-4,0.2501339046598821
"Meilland, 2015",V3,-48.1215,122.7077,270,NA,10,Yes,Undetermined,0,0,0,0
"Meilland, 2015",V3,-48.1215,122.7077,270,NA,10,Yes,Yes,0,0,0,0
"Meilland, 2015",V3,-44.3338,140.836,270,NA,10,No,No,2.67,7.111798564621344e-5,1.880125e-4,0.445
"Meilland, 2015",V3,-44.3338,140.836,270,NA,10,No,Yes,3.33,8.869771243516508e-5,2.344875e-4,0.555
"Meilland, 2015",V3,-44.3338,140.836,270,NA,10,Undetermined,Undetermined,0,0,0,0
"Meilland, 2015",V3,-44.3338,140.836,270,NA,10,Yes,No,0,0,0,0
"Meilland, 2015",V3,-44.3338,140.836,270,NA,10,Yes,Undetermined,0,0,0,0
"Meilland, 2015",V3,-44.3338,140.836,270,NA,10,Yes,Yes,0,0,0,0
"Ortiz et al., 1995",121km,42.06,-125.665,63,NA,100,No,No,35.1,9.349218337760645e-4,0.0024716250000000003,0.7887640449438202
"Ortiz et al., 1995",121km,42.06,-125.665,63,NA,100,No,Yes,5.3,1.411705333052177e-4,3.732083333333333e-4,0.11910112359550562
"Ortiz et al., 1995",121km,42.06,-125.665,63,NA,100,Undetermined,Undetermined,0,0,0,0
"Ortiz et al., 1995",121km,42.06,-125.665,63,NA,100,Yes,No,2.5,6.658987420057439e-5,1.7604166666666666e-4,0.056179775280898875
"Ortiz et al., 1995",121km,42.06,-125.665,63,NA,100,Yes,Undetermined,0,0,0,0
"Ortiz et al., 1995",121km,42.06,-125.665,63,NA,100,Yes,Yes,1.6,4.261751948836761e-5,1.1266666666666668e-4,0.035955056179775284
"Ortiz et al., 1995",220km,42.167,-126.858,63,NA,100,No,No,40.9,0.0010894103419213969,0.0028800416666666666,0.5144654088050314
"Ortiz et al., 1995",220km,42.167,-126.858,63,NA,100,No,Yes,19.9,5.300553986365721e-4,0.0014012916666666666,0.25031446540880503
"Ortiz et al., 1995",220km,42.167,-126.858,63,NA,100,Undetermined,Undetermined,0,0,0,0
"Ortiz et al., 1995",220km,42.167,-126.858,63,NA,100,Yes,No,0,0,0,0
"Ortiz et al., 1995",220km,42.167,-126.858,63,NA,100,Yes,Undetermined,0,0,0,0
"Ortiz et al., 1995",220km,42.167,-126.858,63,NA,100,Yes,Yes,18.700000000000003,4.980922590202965e-4,0.0013167916666666668,0.23522012578616355
"Ortiz et al., 1995",289km,42.16,-127.694,63,NA,100,No,No,1.1,2.9299544648252732e-5,7.745833333333334e-5,0.06321839080459771
"Ortiz et al., 1995",289km,42.16,-127.694,63,NA,100,No,Yes,7.8,2.0776040750579208e-4,5.492499999999999e-4,0.4482758620689655
"Ortiz et al., 1995",289km,42.16,-127.694,63,NA,100,Undetermined,Undetermined,0,0,0,0
"Ortiz et al., 1995",289km,42.16,-127.694,63,NA,100,Yes,No,0,0,0,0
"Ortiz et al., 1995",289km,42.16,-127.694,63,NA,100,Yes,Undetermined,0,0,0,0
"Ortiz et al., 1995",289km,42.16,-127.694,63,NA,100,Yes,Yes,8.5,2.2640557228195292e-4,5.985416666666667e-4,0.4885057471264368
"Ortiz et al., 1995",572km,41.493,-131.07,63,NA,100,No,No,6.1000000000000005,1.6247929304940152e-4,4.295416666666667e-4,0.08567415730337077
"Ortiz et al., 1995",572km,41.493,-131.07,63,NA,100,No,Yes,41.50000000000001,0.001105391911729535,0.0029222916666666672,0.5828651685393258
"Ortiz et al., 1995",572km,41.493,-131.07,63,NA,100,Undetermined,Undetermined,0,0,0,0
"Ortiz et al., 1995",572km,41.493,-131.07,63,NA,100,Yes,No,0,0,0,0
"Ortiz et al., 1995",572km,41.493,-131.07,63,NA,100,Yes,Undetermined,0,0,0,0
"Ortiz et al., 1995",572km,41.493,-131.07,63,NA,100,Yes,Yes,23.6,6.286084124534222e-4,0.0016618333333333335,0.3314606741573033
"Rebotim et al., 2017",Ib-F12,36.72,-9.37,100,>100,100,No,No,2.2000000000000006,5.859908929650548e-5,1.549166666666667e-4,0.03443957420162806
"Rebotim et al., 2017",Ib-F12,36.72,-9.37,100,>100,100,No,Yes,2.8,7.458065910464331e-5,1.9716666666666664e-4,0.04383218534752661
"Rebotim et al., 2017",Ib-F12,36.72,-9.37,100,>100,100,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",Ib-F12,36.72,-9.37,100,>100,100,Yes,No,11.04,2.9406088446973645e-4,7.773999999999999e-4,0.17282404508453347
"Rebotim et al., 2017",Ib-F12,36.72,-9.37,100,>100,100,Yes,Undetermined,0,0,0,0
"Rebotim et al., 2017",Ib-F12,36.72,-9.37,100,>100,100,Yes,Yes,47.84,0.0012742638327021916,0.0033687333333333336,0.7489041953663118
"Rebotim et al., 2017",Ib-F2,42.09,-9.6,100,>100,200,No,No,6.33,1.6860556147585437e-4,4.457375e-4,0.3254498714652956
"Rebotim et al., 2017",Ib-F2,42.09,-9.6,100,>100,200,No,Yes,2.2,5.8599089296505465e-5,1.5491666666666667e-4,0.11311053984575835
"Rebotim et al., 2017",Ib-F2,42.09,-9.6,100,>100,200,Undetermined,Undetermined,0,0,0,0
"Rebotim et al., 2017",Ib-F2,42.09,-9.6,100,>100,200,Yes,No,0,0,0,0
"Rebotim et al., 2017",Ib-F2,42.09,-9.6,100,>100,200,Yes,Undetermined,0,0,0,0
