Event,Elevation [m],Depth water [m],Longitude,Latitude,Symbiosis,Spinose,export,grid_thickness,organic_export_m3,inorganic_export_m3,prop
CI7_trap,-3610,500,-15.45,29.1833,NA,NA,0,147.22389999999996,0,0,0
CI7_trap,-3610,750,-15.45,29.1833,No,No,27,198.67919999999992,9.569446625514903e-6,3.4450007851853654e-6,0.04349226804123711
CI7_trap,-3610,750,-15.45,29.1833,No,Yes,40.6,198.67919999999992,1.4389612333181672e-5,5.180260439945402e-6,0.06539948453608246
CI7_trap,-3610,750,-15.45,29.1833,Undetermined,Undetermined,0,198.67919999999992,0,0,0
CI7_trap,-3610,750,-15.45,29.1833,Yes,No,0,198.67919999999992,0,0,0
CI7_trap,-3610,750,-15.45,29.1833,Yes,Yes,553.2,198.67919999999992,1.9606732863832762e-4,7.058423830979793e-5,0.8911082474226804
CI7_trap,-3610,750,-15.45,29.1833,NA,NA,0,198.67919999999992,0,0,0
EA1_trap,-4524,984,-11.25,3.1667,No,No,0,230.80190000000005,0,0,0
EA1_trap,-4524,984,-11.25,3.1667,No,Yes,272.7,230.80190000000005,8.319959671042566e-5,2.995185481575324e-5,0.01920125051048429
EA1_trap,-4524,984,-11.25,3.1667,Undetermined,Undetermined,0,230.80190000000005,0,0,0
EA1_trap,-4524,984,-11.25,3.1667,Yes,No,0,230.80190000000005,0,0,0
EA1_trap,-4524,984,-11.25,3.1667,Yes,Yes,13929.5,230.80190000000005,0.004249830518437384,0.0015299389866374581,0.9807987494895156
EA1_trap,-4524,984,-11.25,3.1667,NA,NA,0,230.80190000000005,0,0,0
EA2_trap,-4399,953,-11.25,1.8,No,No,0,230.80190000000005,0,0,0
EA2_trap,-4399,953,-11.25,1.8,No,Yes,732,230.80190000000005,2.233300505758401e-4,8.039881820730243e-5,0.037773626577771356
EA2_trap,-4399,953,-11.25,1.8,Undetermined,Undetermined,0,230.80190000000005,0,0,0
EA2_trap,-4399,953,-11.25,1.8,Yes,No,0,230.80190000000005,0,0,0
EA2_trap,-4399,953,-11.25,1.8,Yes,Yes,18646.6,230.80190000000005,0.005688997433152267,0.0020480390759348164,0.9622263734222286
EA2_trap,-4399,953,-11.25,1.8,NA,NA,0,230.80190000000005,0,0,0
EA3_trap,-4141,1097,-10.7667,-0.0833,No,No,0,230.80190000000005,0,0,0
EA3_trap,-4141,1097,-10.7667,-0.0833,No,Yes,300.6,230.80190000000005,9.171176667089828e-5,3.301623600152338e-5,0.04608662322729015
EA3_trap,-4141,1097,-10.7667,-0.0833,Undetermined,Undetermined,0,230.80190000000005,0,0,0
EA3_trap,-4141,1097,-10.7667,-0.0833,Yes,No,0,230.80190000000005,0,0,0
EA3_trap,-4141,1097,-10.7667,-0.0833,Yes,Yes,6221.9,230.80190000000005,0.00189827492032489,6.833789713169605e-4,0.9539133767727098
EA3_trap,-4141,1097,-10.7667,-0.0833,NA,NA,0,230.80190000000005,0,0,0
EA4_trap,-3906,1068,-10.1,-2.1833,No,No,0,230.80190000000005,0,0,0
EA4_trap,-3906,1068,-10.1,-2.1833,No,Yes,469.5,230.80190000000005,1.432424299799958e-4,5.156727479279849e-5,0.042307588332297044
EA4_trap,-3906,1068,-10.1,-2.1833,Undetermined,Undetermined,0,230.80190000000005,0,0,0
EA4_trap,-3906,1068,-10.1,-2.1833,Yes,No,0,230.80190000000005,0,0,0
EA4_trap,-3906,1068,-10.1,-2.1833,Yes,Yes,10627.800000000001,230.80190000000005,0.0032424960539752918,0.001167298579431105,0.9576924116677029
EA4_trap,-3906,1068,-10.1,-2.1833,NA,NA,0,230.80190000000005,0,0,0
EAST-86/90_trap,-3785,1395,68.69,15.48,No,No,0,268.11829999999986,0,0,0
EAST-86/90_trap,-3785,1395,68.69,15.48,No,Yes,9163,268.11829999999986,0.002406504579011082,8.663416484439895e-4,0.7549641591826646
EAST-86/90_trap,-3785,1395,68.69,15.48,Undetermined,Undetermined,0,268.11829999999986,0,0,0
EAST-86/90_trap,-3785,1395,68.69,15.48,Yes,No,0,268.11829999999986,0,0,0
EAST-86/90_trap,-3785,1395,68.69,15.48,Yes,Yes,2974,268.11829999999986,7.810700226976926e-4,2.8118520817116936e-4,0.24503584081733543
EAST-86/90_trap,-3785,1395,68.69,15.48,NA,NA,0,268.11829999999986,0,0,0
EAST-86/90_trap,-3785,1407,68.69,15.48,No,No,0,268.11829999999986,0,0,0
EAST-86/90_trap,-3785,1407,68.69,15.48,No,Yes,2090,268.11829999999986,5.489026050565493e-4,1.9760493782035776e-4,0.8293650793650794
EAST-86/90_trap,-3785,1407,68.69,15.48,Undetermined,Undetermined,0,268.11829999999986,0,0,0
EAST-86/90_trap,-3785,1407,68.69,15.48,Yes,No,0,268.11829999999986,0,0,0
EAST-86/90_trap,-3785,1407,68.69,15.48,Yes,Yes,430,268.11829999999986,1.1293211491594077e-4,4.065556136973868e-5,0.17063492063492064
EAST-86/90_trap,-3785,1407,68.69,15.48,NA,NA,0,268.11829999999986,0,0,0
EAST-86/90_trap,-3785,2764,68.69,15.48,No,No,0,488.28639999999996,0,0,0
EAST-86/90_trap,-3785,2764,68.69,15.48,No,Yes,1442,488.28639999999996,2.0795343334021455e-4,7.486323600247725e-5,0.8472385428907168
EAST-86/90_trap,-3785,2764,68.69,15.48,Undetermined,Undetermined,0,488.28639999999996,0,0,0
EAST-86/90_trap,-3785,2764,68.69,15.48,Yes,No,0,488.28639999999996,0,0,0
EAST-86/90_trap,-3785,2764,68.69,15.48,Yes,Yes,260,488.28639999999996,3.7495071198651724e-5,1.349822563151462e-5,0.15276145710928318
EAST-86/90_trap,-3785,2764,68.69,15.48,NA,NA,0,488.28639999999996,0,0,0
EAST-86/90_trap,-3785,2773,68.69,15.48,No,No,0,488.28639999999996,0,0,0
EAST-86/90_trap,-3785,2773,68.69,15.48,No,Yes,8619,488.28639999999996,0.0012429616102353047,4.474661796847097e-4,0.7455237436207941
EAST-86/90_trap,-3785,2773,68.69,15.48,Undetermined,Undetermined,0,488.28639999999996,0,0,0
EAST-86/90_trap,-3785,2773,68.69,15.48,Yes,No,0,488.28639999999996,0,0,0
EAST-86/90_trap,-3785,2773,68.69,15.48,Yes,Yes,2942,488.28639999999996,4.2427115179397446e-4,1.5273761464583083e-4,0.25447625637920596
EAST-86/90_trap,-3785,2773,68.69,15.48,NA,NA,0,488.28639999999996,0,0,0
EAST-86/90_trap,-3785,2787,68.69,15.48,No,No,0,488.28639999999996,0,0,0
EAST-86/90_trap,-3785,2787,68.69,15.48,No,Yes,7215,488.28639999999996,0.0010404882257625853,3.745757612745307e-4,0.6466792148426996
EAST-86/90_trap,-3785,2787,68.69,15.48,Undetermined,Undetermined,0,488.28639999999996,0,0,0
EAST-86/90_trap,-3785,2787,68.69,15.48,Yes,No,0,488.28639999999996,0,0,0
EAST-86/90_trap,-3785,2787,68.69,15.48,Yes,Yes,3942,488.28639999999996,5.684829640964812e-4,2.046538670747332e-4,0.35332078515730037
EAST-86/90_trap,-3785,2787,68.69,15.48,NA,NA,0,488.28639999999996,0,0,0
EBC2-1_trap,-996,700,-13.1557,28.7082,No,No,32.1,171.02730000000008,1.3216457255654502e-5,4.75792461203562e-6,0.012553773953852172
EBC2-1_trap,-996,700,-13.1557,28.7082,No,Yes,1392.9,171.02730000000008,5.734954302617182e-4,2.0645835489421855e-4,0.544739929605006
EBC2-1_trap,-996,700,-13.1557,28.7082,Undetermined,Undetermined,0,171.02730000000008,0,0,0
EBC2-1_trap,-996,700,-13.1557,28.7082,Yes,No,0,171.02730000000008,0,0,0
EBC2-1_trap,-996,700,-13.1557,28.7082,Yes,Yes,1132,171.02730000000008,4.660756888909936e-4,1.6778724800075768e-4,0.44270629644114196
EBC2-1_trap,-996,700,-13.1557,28.7082,NA,NA,0,171.02730000000008,0,0,0
G_trap,-3663,1000,-132,41.55,No,No,39,230.80190000000005,1.1898732202811152e-5,4.283543593012015e-6,0.22413793103448276
G_trap,-3663,1000,-132,41.55,No,Yes,66,230.80190000000005,2.0136316035526567e-5,7.249073772789564e-6,0.3793103448275862
G_trap,-3663,1000,-132,41.55,Undetermined,Undetermined,0,230.80190000000005,0,0,0
G_trap,-3663,1000,-132,41.55,Yes,No,0,230.80190000000005,0,0,0
G_trap,-3663,1000,-132,41.55,Yes,Yes,69,230.80190000000005,2.1051603128050502e-5,7.5785771260981804e-6,0.39655172413793105
G_trap,-3663,1000,-132,41.55,NA,NA,0,230.80190000000005,0,0,0
JAM-1,-2200,830,108.0333,-8.2917,No,No,1513,198.67919999999992,5.362434349779277e-4,1.93047636592054e-4,0.13454868830591374
JAM-1,-2200,830,108.0333,-8.2917,No,Yes,786,198.67919999999992,2.7857722398721166e-4,1.002878006353962e-4,0.069897732325478
JAM-1,-2200,830,108.0333,-8.2917,Undetermined,Undetermined,14,198.67919999999992,4.961935287304024e-6,1.7862967034294488e-6,0.0012449977767896843
JAM-1,-2200,830,108.0333,-8.2917,Yes,No,3490,198.67919999999992,0.0012369395823350745,4.4529824964062686e-4,0.31036016007114275
JAM-1,-2200,830,108.0333,-8.2917,Yes,Yes,5392,198.67919999999992,0.0019110539335102357,6.879794160636848e-4,0.47950200088928413
JAM-1,-2200,830,108.0333,-8.2917,NA,NA,50,198.67919999999992,1.772119745465723e-5,6.379631083676602e-6,0.004446420631391729
JAM-2,-2200,830,108.0333,-8.2917,No,No,3376,198.67919999999992,0.0011965352521384563,4.3075269076984417e-4,0.17002417405318293
JAM-2,-2200,830,108.0333,-8.2917,No,Yes,2036,198.67919999999992,7.216071603536423e-4,2.5977857772731125e-4,0.10253827558420628
JAM-2,-2200,830,108.0333,-8.2917,Undetermined,Undetermined,4,198.67919999999992,1.4176957963725784e-6,5.103704866941283e-7,2.01450443190975e-4
JAM-2,-2200,830,108.0333,-8.2917,Yes,No,7102,198.67919999999992,0.002517118886459513,9.061627991254246e-4,0.35767526188557613
JAM-2,-2200,830,108.0333,-8.2917,Yes,Yes,7174,198.67919999999992,0.0025426374107942193,9.153494678859189e-4,0.3613013698630137
JAM-2,-2200,830,108.0333,-8.2917,NA,NA,164,198.67919999999992,5.812552765127572e-5,2.092518995445926e-5,0.008259468170829976
JAM-3,-2460,600,108.1417,-8.2683,No,No,538,171.02730000000008,2.2150947051533085e-4,7.974340938551911e-5,0.09154330440701038
JAM-3,-2460,600,108.1417,-8.2683,No,Yes,1368,171.02730000000008,5.632434120166778e-4,2.02767628326004e-4,0.2327718223583461
JAM-3,-2460,600,108.1417,-8.2683,Undetermined,Undetermined,27,171.02730000000008,1.111664628980285e-5,4.001992664329026e-6,0.004594180704441042
JAM-3,-2460,600,108.1417,-8.2683,Yes,No,1864,171.02730000000008,7.674603216367597e-4,2.762857157892335e-4,0.3171686234473371
JAM-3,-2460,600,108.1417,-8.2683,Yes,Yes,2058,171.02730000000008,8.473354838671951e-4,3.050407741921902e-4,0.3501786625829505
JAM-3,-2460,600,108.1417,-8.2683,NA,NA,22,171.02730000000008,9.058008087987508e-6,3.2608829116755028e-6,0.0037434064999149227
LP1_trap,-4327,900,-17.9543,29.7622,No,No,25.7,198.67919999999992,9.108695491693816e-6,3.2791303770097735e-6,0.13921993499458288
LP1_trap,-4327,900,-17.9543,29.7622,No,Yes,2.8,198.67919999999992,9.923870574608047e-7,3.572593406858897e-7,0.015167930660888406
LP1_trap,-4327,900,-17.9543,29.7622,Undetermined,Undetermined,0,198.67919999999992,0,0,0
LP1_trap,-4327,900,-17.9543,29.7622,Yes,No,0,198.67919999999992,0,0,0
LP1_trap,-4327,900,-17.9543,29.7622,Yes,Yes,156.1,198.67919999999992,5.532557845343987e-5,1.9917208243238353e-5,0.8456121343445288
LP1_trap,-4327,900,-17.9543,29.7622,NA,NA,0,198.67919999999992,0,0,0
MIR97_40N-1_trap,-5476,2986,165,40,No,No,4706,488.28639999999996,6.786607886955962e-4,2.443178839304146e-4,0.42561273401465133
MIR97_40N-1_trap,-5476,2986,165,40,No,Yes,2479,488.28639999999996,3.57501082697914e-4,1.28700389771249e-4,0.2242018630731663
MIR97_40N-1_trap,-5476,2986,165,40,Undetermined,Undetermined,0,488.28639999999996,0,0,0
MIR97_40N-1_trap,-5476,2986,165,40,Yes,No,0,488.28639999999996,0,0,0
MIR97_40N-1_trap,-5476,2986,165,40,Yes,Yes,3872,488.28639999999996,5.583881372353057e-4,2.0101972940471003e-4,0.3501854029121823
MIR97_40N-1_trap,-5476,2986,165,40,NA,NA,0,488.28639999999996,0,0,0
MIR97_50N-1_trap,-5546,3260,165.01667,50.016667,No,No,51094,567.2331999999997,0.006342839535250526,0.0022834222326901894,0.8181192256576946
MIR97_50N-1_trap,-5546,3260,165.01667,50.016667,No,Yes,11359,567.2331999999997,0.001410113012896049,5.076406846425776e-4,0.1818807743423054
MIR97_50N-1_trap,-5546,3260,165.01667,50.016667,Undetermined,Undetermined,0,567.2331999999997,0,0,0
MIR97_50N-1_trap,-5546,3260,165.01667,50.016667,Yes,No,0,567.2331999999997,0,0,0
MIR97_50N-1_trap,-5546,3260,165.01667,50.016667,Yes,Yes,0,567.2331999999997,0,0,0
MIR97_50N-1_trap,-5546,3260,165.01667,50.016667,NA,NA,0,567.2331999999997,0,0,0
MIR97_KNOT-1_trap,-5375,2957,155.05,43.966667,No,No,23128,488.28639999999996,0.0033353307949323735,0.0012007190861756543,0.7475113122171946
MIR97_KNOT-1_trap,-5375,2957,155.05,43.966667,No,Yes,7679,488.28639999999996,0.0011074025066709484,3.986649024015414e-4,0.24819004524886878
MIR97_KNOT-1_trap,-5375,2957,155.05,43.966667,Undetermined,Undetermined,0,488.28639999999996,0,0,0
MIR97_KNOT-1_trap,-5375,2957,155.05,43.966667,Yes,No,0,488.28639999999996,0,0,0
MIR97_KNOT-1_trap,-5375,2957,155.05,43.966667,Yes,Yes,133,488.28639999999996,1.918017103623338e-5,6.904861573044018e-6,0.004298642533936652
MIR97_KNOT-1_trap,-5375,2957,155.05,43.966667,NA,NA,0,488.28639999999996,0,0,0
MW_trap,-2830,1000,-127.58,42.19,No,No,264,230.80190000000005,8.054526414210627e-5,2.8996295091158257e-5,0.6125290023201856
MW_trap,-2830,1000,-127.58,42.19,No,Yes,138,230.80190000000005,4.2103206256101005e-5,1.5157154252196361e-5,0.32018561484918795
MW_trap,-2830,1000,-127.58,42.19,Undetermined,Undetermined,0,230.80190000000005,0,0,0
MW_trap,-2830,1000,-127.58,42.19,Yes,No,0,230.80190000000005,0,0,0
MW_trap,-2830,1000,-127.58,42.19,Yes,Yes,29,230.80190000000005,8.84777522773137e-6,3.185199081983293e-6,0.06728538283062645
MW_trap,-2830,1000,-127.58,42.19,NA,NA,0,230.80190000000005,0,0,0
NBBTn-88/89_trap,-2265,967,89.6,17.45,No,No,0,230.80190000000005,0,0,0
NBBTn-88/89_trap,-2265,967,89.6,17.45,No,Yes,610,230.80190000000005,1.8610837547986675e-4,6.699901517275203e-5,0.2634989200863931
NBBTn-88/89_trap,-2265,967,89.6,17.45,Undetermined,Undetermined,0,230.80190000000005,0,0,0
NBBTn-88/89_trap,-2265,967,89.6,17.45,Yes,No,0,230.80190000000005,0,0,0
NBBTn-88/89_trap,-2265,967,89.6,17.45,Yes,Yes,1705,230.80190000000005,5.201881642511029e-4,1.8726773913039705e-4,0.7365010799136069
NBBTn-88/89_trap,-2265,967,89.6,17.45,NA,NA,0,230.80190000000005,0,0,0
NBBTn-88/89_trap,-2265,1498,89.6,17.45,No,No,0,311.4680000000001,0,0,0
NBBTn-88/89_trap,-2265,1498,89.6,17.45,No,Yes,406,311.4680000000001,9.178845552887185e-5,3.304384399039387e-5,0.19882468168462292
NBBTn-88/89_trap,-2265,1498,89.6,17.45,Undetermined,Undetermined,0,311.4680000000001,0,0,0
NBBTn-88/89_trap,-2265,1498,89.6,17.45,Yes,No,0,311.4680000000001,0,0,0
NBBTn-88/89_trap,-2265,1498,89.6,17.45,Yes,Yes,1636,311.4680000000001,3.6986678139220284e-4,1.3315204130119303e-4,0.801175318315377
NBBTn-88/89_trap,-2265,1498,89.6,17.45,NA,NA,0,311.4680000000001,0,0,0
NBBTn-88/89_trap,-2265,2029,89.6,17.45,No,No,0,361.82669999999985,0,0,0
NBBTn-88/89_trap,-2265,2029,89.6,17.45,No,Yes,455,361.82669999999985,8.854952753164248e-5,3.187782991139129e-5,0.215742057847321
NBBTn-88/89_trap,-2265,2029,89.6,17.45,Undetermined,Undetermined,0,361.82669999999985,0,0,0
NBBTn-88/89_trap,-2265,2029,89.6,17.45,Yes,No,0,361.82669999999985,0,0,0
NBBTn-88/89_trap,-2265,2029,89.6,17.45,Yes,Yes,1654,361.82669999999985,3.2189212865348717e-4,1.1588116631525539e-4,0.784257942152679
